"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MOB1B",9.65801527812283e-53,0.823329597631423,0.363,0.135,3.1250440035422e-48
"PBX1",9.83989931482182e-53,1.05717722074657,0.279,0.086,3.1838962212969e-48
"TAOK3",1.15747567484904e-52,0.964934465052991,0.301,0.098,3.74524404110903e-48
"RPL12",2.42304207743927e-52,-1.21892388221637,0.296,0.426,7.84023724997023e-48
"HIST1H2AE",9.83163148877763e-52,1.16268497377139,0.269,0.083,3.18122100082378e-47
"GFI1B",1.00942483289568e-51,0.716233750914582,0.409,0.162,3.26619593180054e-47
"RPS19",1.02412737082132e-51,-1.09303781876234,0.357,0.466,3.31376893376654e-47
"ARHGAP21",1.06957135435641e-51,0.775190700428036,0.39,0.151,3.46081203129104e-47
"ARF4",1.07987826237374e-51,1.1434553059044,0.262,0.078,3.4941620935627e-47
"RPL21",1.69949649207072e-51,-1.00003260406316,0.411,0.498,5.49906079939323e-47
"FYN",1.88749144907405e-51,0.860554450002842,0.318,0.109,6.1073560817689e-47
"LAT",6.25140036753812e-51,0.623868783794298,0.587,0.267,2.02276561692431e-46
"GNAQ",1.30377831524737e-50,0.871854026419753,0.295,0.096,4.21863549464591e-46
"COMMD7",1.42477263382288e-50,0.788563140173688,0.345,0.125,4.61013681126068e-46
"KIFC3",2.78086934346352e-50,0.743040237634881,0.348,0.127,8.9980589346449e-46
"SSBP2",3.08671949909517e-50,0.951498203996805,0.277,0.087,9.98769828322223e-46
"PRKCD",5.51869451592017e-50,0.980415232354565,0.275,0.087,1.78568398451629e-45
"MEPCE",5.84995161772418e-50,0.879716743205521,0.302,0.102,1.89286884494701e-45
"PTCRA",6.01648657802205e-50,0.620290523608753,0.856,0.483,1.9467545620506e-45
"CLINT1",7.80455939724249e-50,0.917147269018714,0.288,0.094,2.52532128416575e-45
"LYPLAL1",1.42834670165492e-49,0.663193832785278,0.476,0.206,4.62170142254481e-45
"BRD3",1.44237457945304e-49,1.01762616079824,0.261,0.08,4.66709142673619e-45
"NRDC",1.53156657735891e-49,0.877142763658926,0.287,0.094,4.95568997436022e-45
"UBXN2A",3.04031146983595e-49,1.16062020724613,0.253,0.077,9.83753582294817e-45
"SH3BGRL",3.39765514189671e-49,-0.663915615210618,0.579,0.592,1.09937927426352e-44
"IQGAP2",4.88270936296086e-49,0.687312607882497,0.423,0.174,1.57989826857325e-44
"TSC22D4",6.07697239164306e-49,1.0367650525707,0.252,0.076,1.96632595676394e-44
"BCL2L1",1.03679207362775e-48,0.809952809071169,0.325,0.118,3.35474811263731e-44
"MINDY1",1.05486415193715e-48,0.890250454215926,0.3,0.103,3.41322393642303e-44
"MISP3",1.11165797953638e-48,0.828455041375477,0.319,0.115,3.59699172438586e-44
"LYZ",2.31977680555793e-48,-1.20245282434512,0.282,0.41,7.50610180974381e-44
"RIOK3",5.44445639776632e-48,0.60694974849352,0.711,0.354,1.76166275662525e-43
"KLF3",7.24880292946514e-48,0.894212992093757,0.272,0.087,2.34549516388703e-43
"TERF2IP",9.04720359480538e-48,0.678121558245041,0.384,0.153,2.92740366717118e-43
"MFAP3L",1.89526900659372e-47,0.756469717968883,0.363,0.143,6.13252192463529e-43
"PKM",1.9716830334461e-47,-0.380851376982421,0.762,0.687,6.37977479132153e-43
"TRIM58",2.28258379022798e-47,0.629771607746636,0.488,0.214,7.38575637004067e-43
"CCS",3.52612096439453e-47,0.860423924413523,0.296,0.103,1.14094696044914e-42
"TRAPPC3L",5.53034271208967e-47,0.71762842443229,0.347,0.132,1.78945299135085e-42
"DNAJB6",5.72658783650638e-47,0.591612550795674,0.663,0.326,1.85295202625837e-42
"CORO1C",6.43767005043077e-47,0.742797633130858,0.367,0.146,2.08303689821789e-42
"PTK2",9.94978733934476e-47,0.865387543695977,0.277,0.092,3.21945268939179e-42
"HIST1H2AG",3.42206201087219e-46,0.946994878753075,0.281,0.097,1.10727660485791e-41
"NUTF2",3.4310718746473e-46,0.584516628209522,0.473,0.208,1.11019192647963e-41
"USP12",4.13365350310177e-46,0.935948033396093,0.255,0.081,1.33752626399864e-41
"GADD45A",5.14948684123353e-46,0.615668976980163,0.477,0.211,1.66621945721793e-41
"HIST1H3H",1.32827385894187e-45,0.593776581274225,0.681,0.352,4.2978957253782e-41
"LINC01003",1.42519817713066e-45,0.822129027860018,0.28,0.095,4.61151374174167e-41
"RPS15A",2.21274530531195e-45,-0.778960157028066,0.518,0.543,7.15977998439788e-41
"RHEB",2.71083136673616e-45,0.709338870943067,0.339,0.129,8.77143705334819e-41
"EPB41",3.37235599434602e-45,0.830356815171773,0.306,0.113,1.09119322909054e-40
