"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.69927824402707e-118,2.0487853378722,0.357,0.056,5.49835461419838e-114,"6","ZCCHC7"
1.80824116175553e-118,1.9220463246194,0.371,0.06,5.85092592709236e-114,"6","GIT2"
2.15781005025717e-118,2.65521398307942,0.335,0.049,6.98202597961713e-114,"6","ERG28"
2.31245178517344e-118,2.05628085623232,0.385,0.064,7.4824002412857e-114,"6","NUDT5"
3.28139419384911e-118,1.70910195631578,0.412,0.072,1.06176071930376e-113,"6","EIF4A1"
3.48300256749477e-118,1.04399916830918,0.519,0.107,1.12699514076428e-113,"6","PSMD13"
3.55182140214006e-118,1.1649187680762,0.505,0.103,1.14926285109046e-113,"6","TMED2"
3.80592972596419e-118,0.627798731966268,0.657,0.156,1.23148468143023e-113,"6","NDUFA3"
4.89370599556192e-118,1.63431148770213,0.327,0.046,1.58345644898397e-113,"6","CELF1"
5.08190522431165e-118,2.36112043893974,0.379,0.064,1.64435207343052e-113,"6","PWP1"
5.40234188459872e-118,2.55741990007937,0.25,0.027,1.74803576359961e-113,"6","ZMAT1"
7.1822139755234e-118,1.23830792076526,0.997,0.264,2.32394897606011e-113,"6","RPLP0"
7.3180633314075e-118,2.08486858453532,0.308,0.041,2.36790575214353e-113,"6","ZC3H14"
8.69717802336964e-118,0.89125881286784,0.662,0.153,2.81414589302171e-113,"6","H2AFV"
8.73740947480555e-118,1.55640397807827,0.36,0.056,2.82716358376283e-113,"6","SYNRG"
1.0358348144344e-117,1.56985891589855,0.451,0.086,3.35165070906539e-113,"6","VPS51"
1.064287426373e-117,1.69619131973285,0.357,0.055,3.4437148255151e-113,"6","LINC00667"
1.72364695566402e-117,1.6069954251672,0.445,0.083,5.57720445444208e-113,"6","G3BP1"
1.84542159009977e-117,0.540631465655152,0.745,0.186,5.97123063908583e-113,"6","EIF5A"
2.46670643719246e-117,0.777897972968174,0.607,0.138,7.98152201882363e-113,"6","UBE2R2"
2.75752325278701e-117,1.97410592069802,0.31,0.042,8.92251798904293e-113,"6","COX19"
3.06304520666201e-117,0.689425110926642,0.973,0.268,9.91109537519628e-113,"6","CHCHD2"
3.12341116697784e-117,1.91535249912874,0.341,0.051,1.01064215129902e-112,"6","SETD5"
3.13657564694765e-117,2.13271756263577,0.25,0.027,1.01490178208285e-112,"6","TRRAP"
3.47173019526783e-117,0.806417780170188,0.365,0.055,1.12334773928281e-112,"6","CARHSP1"
4.09979172344689e-117,2.18452969079502,0.294,0.038,1.32656960795571e-112,"6","N4BP1"
5.91528758518562e-117,2.08885459570493,0.39,0.066,1.91400960393851e-112,"6","MTF2"
7.06391750024125e-117,1.78695710692501,0.404,0.07,2.28567178555306e-112,"6","CCAR1"
8.04437282046146e-117,0.462027700859066,0.742,0.184,2.60291771351672e-112,"6","IFITM2"
8.99471174050866e-117,0.821461912771654,0.651,0.155,2.91041887787639e-112,"6","AKAP9"
9.74363050426732e-117,0.540117857301401,0.747,0.186,3.15274652226578e-112,"6","HNRNPF"
1.06035118684607e-116,1.27294901813035,0.448,0.083,3.43097833527783e-112,"6","BBX"
1.331008980039e-116,1.89978280211326,0.33,0.048,4.30674575671219e-112,"6","RMDN1"
1.57146991771438e-116,1.64076032311619,0.357,0.055,5.08480521274842e-112,"6","CNOT1"
1.68299174138733e-116,1.9253929836051,0.33,0.048,5.44565637760697e-112,"6","OXR1"
1.80893571368184e-116,2.82688215468037,0.275,0.033,5.85317328876032e-112,"6","DST"
3.59024738988408e-116,2.00301182231232,0.352,0.055,1.16169634794479e-111,"6","PAXBP1"
3.86344932354629e-116,2.28971389860607,0.374,0.061,1.25009629761987e-111,"6","B3GNT2"
4.67881820595258e-116,2.35443933876413,0.291,0.038,1.51392520690008e-111,"6","ZNF430"
5.0258680645081e-116,2.23796630582088,0.286,0.036,1.62622012963289e-111,"6","MEX3C"
5.12160793802906e-116,1.56132897625396,0.393,0.067,1.65719868050806e-111,"6","PTOV1"
5.3517053658108e-116,1.15662427950155,0.409,0.071,1.7316513052154e-111,"6","SERINC1"
6.11758904129592e-116,2.08522138850913,0.327,0.047,1.97946828609212e-111,"6","GOSR1"
6.8509326668967e-116,2.34906105973573,0.327,0.048,2.21675628302777e-111,"6","RBMX2"
7.27319466246324e-116,2.2919264909496,0.349,0.054,2.35338759693323e-111,"6","AATF"
7.44020735604265e-116,1.39360213602825,0.341,0.05,2.40742789419472e-111,"6","MYO9B"
7.49755644799559e-116,1.77028111825065,0.385,0.065,2.42598433987793e-111,"6","ATP1B3"
8.2776705616313e-116,1.20339124500948,0.484,0.097,2.67840586362704e-111,"6","KLHDC2"
9.35134548428823e-116,0.747370338814681,0.582,0.13,3.02581485835114e-111,"6","CD46"
1.09429765963892e-115,2.07647880609585,0.338,0.051,3.54081893729365e-111,"6","PUS7L"
1.16656230955603e-115,2.16472667230917,0.363,0.059,3.77464566503046e-111,"6","MRPL40"
1.36604839728335e-115,1.30815183914015,0.313,0.042,4.42012279908973e-111,"6","TMC6"
2.75862543459477e-115,2.21926010823853,0.363,0.059,8.92608431871828e-111,"6","DTWD1"
3.75045266031985e-115,2.41501324308284,0.319,0.046,1.21353396729969e-110,"6","AFG3L2"
4.21225200579915e-115,2.52074999829236,0.283,0.036,1.36295838151643e-110,"6","UBN2"
4.35443990427184e-115,0.721362870226768,0.538,0.115,1.40896611982524e-110,"6","POLR2J"
4.68960331161175e-115,1.00891363674523,0.473,0.092,1.51741494353821e-110,"6","CNOT6L"
5.68956449382636e-115,1.02111915277327,0.497,0.1,1.8409723832674e-110,"6","ATF7IP"
6.01294577754224e-115,0.66174163224591,0.673,0.163,1.94560886523934e-110,"6","CASP4"
6.12886760078626e-115,1.97786052675875,0.283,0.036,1.98311768958641e-110,"6","IKBKB"
7.0359440900065e-115,2.22541827839207,0.264,0.031,2.2766204292034e-110,"6","SDF2L1"
8.09683257593562e-115,2.08174987069353,0.321,0.046,2.61989211659549e-110,"6","MRE11"
1.01461697091021e-114,2.15784458050179,0.316,0.045,3.28299613277416e-110,"6","MANF"
1.0667055517192e-114,1.69082956222776,0.44,0.084,3.45153915369783e-110,"6","ARHGAP15"
1.06778999167036e-114,1.32895454825848,0.448,0.086,3.45504807604779e-110,"6","MED4"
1.21503635721271e-114,1.84756409887922,0.352,0.055,3.93149314103315e-110,"6","SEC11C"
1.37316611074111e-114,0.962394879517811,0.335,0.048,4.443153584525e-110,"6","MYO1F"
1.39294002851243e-114,1.65070334938099,0.385,0.065,4.50713605025768e-110,"6","METTL23"
1.64840303070045e-114,1.12936111787823,0.374,0.06,5.33373768643746e-110,"6","LENG8"
2.02542864859374e-114,0.37517120881158,0.857,0.231,6.55367947825477e-110,"6","UQCR10"
2.4946214487864e-114,1.12306375787942,0.459,0.088,8.07184662183814e-110,"6","NSD1"
2.6685370391775e-114,2.4470193458841,0.324,0.048,8.63458529766662e-110,"6","ZNHIT6"
3.26420486829665e-114,2.23075596265698,0.404,0.072,1.05619876923475e-109,"6","KDM5B"
3.717459287713e-114,1.24867129604345,0.478,0.095,1.20285830172529e-109,"6","VAMP5"
3.9550571779511e-114,1.51450521634338,0.409,0.073,1.27973785106964e-109,"6","ME2"
4.3569134251006e-114,2.14301875339636,0.338,0.051,1.4097664769598e-109,"6","SHPRH"
5.12500608966612e-114,2.1517372053478,0.354,0.057,1.65829822043327e-109,"6","MRPS12"
5.48850929973026e-114,1.10124181517939,0.486,0.098,1.77591695411372e-109,"6","PTBP3"
5.92119614947329e-114,2.47933136350453,0.335,0.051,1.91592143808507e-109,"6","MRPL19"
5.99002330265154e-114,2.04187415940448,0.393,0.069,1.93819184003896e-109,"6","PPIL4"
8.2705720307748e-114,2.01297022837793,0.338,0.051,2.6761089919978e-109,"6","ANKRD17"
9.47219783235024e-114,2.28918214896552,0.31,0.044,3.06491905261357e-109,"6","UVRAG"
1.1498526289573e-113,2.63336349733527,0.332,0.051,3.72057815151715e-109,"6","DDX54"
1.16883303845948e-113,1.51736636306046,0.407,0.072,3.78199306254333e-109,"6","ZNF148"
1.35473194517368e-113,1.01543186324015,0.533,0.116,4.38350615499848e-109,"6","TMEM160"
1.54272624450498e-113,1.72621534853332,0.448,0.086,4.99179930934475e-109,"6","TRIM28"
1.81926564452522e-113,0.712542526239326,0.651,0.159,5.88659784599024e-109,"6","POMP"
1.90109848690426e-113,1.82206714544376,0.316,0.045,6.15138437407613e-109,"6","ANKRD49"
2.32361783956645e-113,0.964571741495244,0.475,0.096,7.51853024348518e-109,"6","C1D"
2.58212190242587e-113,1.9297220193798,0.327,0.048,8.35497183967937e-109,"6","API5"
2.72713350569665e-113,2.19544761468201,0.335,0.051,8.82418588438265e-109,"6","MPHOSPH9"
3.0368627249323e-113,1.94620237585019,0.382,0.066,9.82637671906345e-109,"6","FDX1"
3.13342767034442e-113,1.75682118186553,0.363,0.059,1.01388319129335e-108,"6","ACAA1"
3.16503417558399e-113,0.627581294928541,0.591,0.136,1.02411010819371e-108,"6","TMEM230"
3.36812831939863e-113,1.67108953128279,0.423,0.079,1.08982528030781e-108,"6","UFM1"
3.99733751339356e-113,1.89671813494882,0.374,0.063,1.29341849920875e-108,"6","PSMD12"
5.91875073675515e-113,1.64032926372209,0.316,0.045,1.91513017589186e-108,"6","ARHGAP9"
6.14408217547158e-113,1.80633141951405,0.445,0.087,1.98804066951734e-108,"6","MPLKIP"
6.93966267685398e-113,1.65700421501135,0.434,0.084,2.24546665234964e-108,"6","UBE2N"
7.11976003374174e-113,2.14425350411188,0.349,0.056,2.30374075411782e-108,"6","TMEM208"
7.687102702852e-113,1.80211866573964,0.28,0.035,2.48731582156182e-108,"6","MAP3K1"
8.39346129625466e-113,1.86028585229596,0.302,0.041,2.71587227162912e-108,"6","TRPM7"
9.92470424265866e-113,1.9631804143747,0.316,0.045,3.21133655179706e-108,"6","GIMAP2"
1.2327019062951e-112,1.26785667301987,0.437,0.083,3.98865355819906e-108,"6","SAMD9"
